Country,Code,Year,Mismanaged plastic waste per capita (kg per year)
Bahrain,BHR,2019,0.635588056
Bangladesh,BGD,2019,6.268108387
Brunei,BRN,2019,1.598152425
Cambodia,KHM,2019,15.01152423
China,CHN,2019,8.559308412
Cyprus,CYP,2019,0.698081735
East Timor,TLS,2019,13.33642691
Egypt,EGY,2019,14.29961748
Hong Kong,HKG,2019,0.777434104
India,IND,2019,9.509608
Indonesia,IDN,2019,3.045657286
Iran,IRN,2019,5.981679813
Iraq,IRQ,2019,12.51007377
Japan,JPN,2019,0.281286458
Jordan,JOR,2019,12.31686795
Kazakhstan,KAZ,2019,2.92393941
Kuwait,KWT,2019,0.627525553
Lebanon,LBN,2019,6.800175029
Malaysia,MYS,2019,25.491518
Maldives,MDV,2019,0.11299435
Myanmar,MMR,2019,8.038338422
North Korea,PRK,2019,0.01254578
Oman,OMN,2019,0.251457286
Pakistan,PAK,2019,6.21734837
Palestine,PSE,2019,0.427424212
Philippines,PHL,2019,37.23096275
Qatar,QAT,2019,0.540960452
Saudi Arabia,SAU,2019,0.209402084
Singapore,SGP,2019,0.425223983
South Korea,KOR,2019,0.237306003
Sri Lanka,LKA,2019,7.290658413
Syria,SYR,2019,0.029408319
Taiwan,TWN,2019,0.315554808
Thailand,THA,2019,19.55720564
Turkey,TUR,2019,19.85029366
United Arab Emirates,ARE,2019,0.525534746
Vietnam,VNM,2019,11.53604528
Yemen,YEM,2019,10.00401207
